-0.109,-0.072,-0.075,-0.046,-0.11,-0.118,-0.076,-0.035,-0.165,-0.078
-0.115,-0.074,-0.089,-0.036,-0.117,-0.104,-0.068,-0.026,-0.155,-0.068
-0.119,-0.081,-0.109,-0.029,-0.12,-0.089,-0.067,-0.019,-0.144,-0.067
-0.119,-0.092,-0.129,-0.025,-0.117,-0.078,-0.07,-0.017,-0.129,-0.068
-0.115,-0.104,-0.147,-0.025,-0.112,-0.07,-0.08,-0.018,-0.113,-0.078
-0.107,-0.113,-0.161,-0.028,-0.102,-0.069,-0.091,-0.024,-0.097,-0.089
-0.096,-0.12,-0.168,-0.036,-0.091,-0.075,-0.104,-0.034,-0.084,-0.1
-0.084,-0.123,-0.17,-0.046,-0.078,-0.084,-0.113,-0.047,-0.073,-0.11
-0.072,-0.12,-0.167,-0.06,-0.064,-0.096,-0.12,-0.062,-0.067,-0.115
-0.06,-0.113,-0.16,-0.074,-0.05,-0.107,-0.12,-0.078,-0.067,-0.115
-0.049,-0.104,-0.149,-0.088,-0.039,-0.115,-0.117,-0.089,-0.073,-0.11
-0.039,-0.092,-0.136,-0.097,-0.03,-0.118,-0.109,-0.1,-0.083,-0.101
-0.034,-0.08,-0.121,-0.104,-0.023,-0.117,-0.097,-0.106,-0.096,-0.09
-0.03,-0.067,-0.107,-0.109,-0.021,-0.112,-0.086,-0.109,-0.107,-0.078
-0.032,-0.054,-0.092,-0.109,-0.024,-0.104,-0.071,-0.109,-0.115,-0.063
-0.037,-0.042,-0.083,-0.107,-0.031,-0.092,-0.059,-0.107,-0.118,-0.05
-0.046,-0.034,-0.075,-0.102,-0.041,-0.079,-0.044,-0.1,-0.117,-0.038
-0.059,-0.028,-0.075,-0.096,-0.055,-0.065,-0.034,-0.095,-0.11,-0.027
-0.072,-0.026,-0.08,-0.089,-0.07,-0.05,-0.026,-0.088,-0.1,-0.02
-0.086,-0.029,-0.089,-0.081,-0.085,-0.038,-0.021,-0.081,-0.088,-0.017
-0.097,-0.034,-0.101,-0.073,-0.097,-0.03,-0.021,-0.073,-0.075,-0.017
-0.107,-0.044,-0.112,-0.065,-0.107,-0.022,-0.026,-0.065,-0.06,-0.021
-0.112,-0.058,-0.12,-0.057,-0.112,-0.02,-0.034,-0.057,-0.047,-0.031
-0.114,-0.071,-0.122,-0.048,-0.113,-0.021,-0.046,-0.05,-0.036,-0.044
-0.114,-0.084,-0.121,-0.041,-0.112,-0.026,-0.06,-0.044,-0.026,-0.059
-0.112,-0.095,-0.115,-0.035,-0.109,-0.035,-0.075,-0.039,-0.021,-0.074
-0.107,-0.104,-0.106,-0.031,-0.101,-0.048,-0.089,-0.038,-0.019,-0.088
-0.101,-0.107,-0.095,-0.031,-0.094,-0.063,-0.1,-0.039,-0.021,-0.099
-0.094,-0.109,-0.083,-0.034,-0.086,-0.078,-0.109,-0.044,-0.027,-0.105
-0.086,-0.107,-0.069,-0.041,-0.078,-0.089,-0.112,-0.05,-0.037,-0.109
-0.078,-0.102,-0.057,-0.047,-0.068,-0.1,-0.112,-0.059,-0.05,-0.109
-0.067,-0.097,-0.044,-0.055,-0.06,-0.107,-0.11,-0.063,-0.065,-0.107
-0.057,-0.089,-0.034,-0.059,-0.053,-0.11,-0.107,-0.064,-0.08,-0.1
-0.046,-0.083,-0.027,-0.06,-0.044,-0.11,-0.1,-0.062,-0.092,-0.094
-0.036,-0.075,-0.022,-0.055,-0.038,-0.109,-0.092,-0.054,-0.101,-0.088
-0.03,-0.067,-0.022,-0.046,-0.034,-0.104,-0.085,-0.042,-0.108,-0.08
-0.025,-0.057,-0.026,-0.034,-0.033,-0.097,-0.076,-0.028,-0.11,-0.071
-0.025,-0.047,-0.034,-0.021,-0.035,-0.091,-0.068,-0.012,-0.11,-0.063
